Index, Object
1, the butterfly's wings
2, the butterfly's wings
3, the flame of the match
4, the flame of the match
5, the dog's face
6, the dog's face
7, the school bus
8, the school bus
9, the key ""Z""
10, the key ""Z""
11, the peacock's tail
12, the peacock's tail
13, an ear of corn
14, an ear of corn
15, a shadow on the flower
16, a shadow on the flower
17, the front of the school bus
18, the front of the school bus
19, the dorsal fin of the animal
20, the dorsal fin of the animal
21, the duck's entire beak
22, the duck's entire beak
23, None
24, None
25, the chicken's body
26, the chicken's body
27, the peacock's head
28, the peacock's head
29, the window on the school bus
30, the window on the school bus
31, the flag
32, the flag
33, the butterfly's abdomen
34, the butterfly's abdomen
35, the vegetables with spikes
36, the vegetables with spikes
37, the flowers in the background
38, the flowers in the background
39, the duck
40, the duck
41, the spider's legs
42, the spider's legs
43, the wheels of the school bus
44, the wheels of the school bus
45, the shark's belly
46, the shark's belly
47, the spots on the animal
48, the spots on the animal
49, the arrow keys
50, the arrow keys
51, the elephant's trunk
52, the elephant's trunk
53, the pills
54, the pills
55, the stems of bananas
56, the stems of bananas
57, the crocodile
58, the crocodile
59, the lock
60, the lock
61, the letter ""J""
62, the letter ""J""
63, one daisy that is under the shadow of a taller daisy
64, one daisy that is under the shadow of a taller daisy
65, the letter D
66, the letter D
67, the clouds
68, the clouds
69, the snake's tongue
70, the snake's tongue
71, the lock
72, the lock
73, the ground
74, the ground
75, the flower
76, the flower
77, the caudal fin of the shark
78, the caudal fin of the shark
79, the snake's head
80, the snake's head
81, a hammerhead shark
82, a hammerhead shark
83, the door of the truck cab
84, the door of the truck cab
85, the ears of the dog
86, the ears of the dog
87, a hand using the mouse
88, a hand using the mouse
89, people
90, people
91, words on the vehicle's lightbar
92, words on the vehicle's lightbar
93, accessory on the wrists
94, accessory on the wrists
95, the spider web
96, the spider web
97, the keyboard
98, the keyboard
99, the elephant's tusks
100, the elephant's tusks
101, the woman with the ball
102, the woman with the ball
103, the needle
104, the needle
105, None
106, None
107, the butterfly's feet
108, the butterfly's feet
109, the bird's wings
110, the bird's wings
111, the end of the elephant's trunk
112, the end of the elephant's trunk
113, the window
114, the window
115, the snail
116, the snail
117, the eyes of the cat
118, the eyes of the cat
119, the eyes on the animal
120, the eyes on the animal
121, the corn's white kernels
122, the corn's white kernels
123, the duck
124, the duck
125, a door
126, a door
127, the flower's center
128, the flower's center
129, the words ""SCHOOL BUS""
130, the words ""SCHOOL BUS""
131, the yellow animal's head
132, the yellow animal's head
133, the center button
134, the center button
135, the cup(s) of drink 
136, the cup(s) of drink 
137, the snake
138, the snake
139, the side windows of the vehicles
140, the side windows of the vehicles
141, the elephant's trunk
142, the elephant's trunk
143, the ladybug
144, the ladybug
145, None
146, None
147, the snake's head
148, the snake's head
149, the piano's back panel
150, the piano's back panel
151, a woman running
152, a woman running
153, the red apples
154, the red apples
155, the vase
156, the vase
157, the frame at the front of the motorcycle
158, the frame at the front of the motorcycle
159, the arms of the people operating the machine
160, the arms of the people operating the machine
161, the minute hand of the clock
162, the minute hand of the clock
163, the Christmas tree
164, the Christmas tree
165, the berries
166, the berries
167, the fruits
168, the fruits
169, a knee
170, a knee
171, the snowman's face
172, the snowman's face
173, the Easter eggs
174, the Easter eggs
175, the nail polish on the toes
176, the nail polish on the toes
177, the person
178, the person
179, the wheels
180, the wheels
181, the stripe in the middle of the car
182, the stripe in the middle of the car
183, the teddy bears
184, the teddy bears
185, the person
186, the person
187, the person's arms
188, the person's arms
189, the person
190, the person
191, the flower next to the Easter egg
192, the flower next to the Easter egg
193, the vegetables
194, the vegetables
195, the juice and all carrots
196, the juice and all carrots
197, the person weighing themselves
198, the person weighing themselves
199, the eggs in the corner of the picture
200, the eggs in the corner of the picture
201, the words in the image
202, the words in the image
203, the oranges
204, the oranges
205, the coffee cup
206, the coffee cup
207, the bell pepper
208, the bell pepper
209, an orange with leaves next to the cup
210, an orange with leaves next to the cup
211, the heart-shaped object
212, the heart-shaped object
213, the snowman's arms
214, the snowman's arms
215, the black stripes on the roof of the car
216, the black stripes on the roof of the car
217, the knife
218, the knife
219, the person
220, the person
221, the man's hand
222, the man's hand
223, a pomegranate
224, a pomegranate
225, the cups and bottles
226, the cups and bottles
227, the person's hand
228, the person's hand
229, the bottles
230, the bottles
231, the easter eggs
232, the easter eggs
233, the sky in the background
234, the sky in the background
235, the individuals in the picture
236, the individuals in the picture
237, the red fallen leaves
238, the red fallen leaves
239, the leather shoes
240, the leather shoes
241, None
242, None
243, the rabbit
244, the rabbit
245, the elderly person
246, the elderly person
247, fruits or vegetables in the heart-shaped part of the picture
248, fruits or vegetables in the heart-shaped part of the picture
249, the very top of the cake
250, the very top of the cake
251, the beverage
252, the beverage
253, the design in the picture
254, the design in the picture
255, the cookies stacked on top of other cookies
256, the cookies stacked on top of other cookies
257, the lemon
258, the lemon
259, the elderly people
260, the elderly people
261, the person in the picture sitting
262, the person in the picture sitting
263, the cake
264, the cake
265, the shoe
266, the shoe
267, the child
268, the child
269, the wall behind the bed
270, the wall behind the bed
271, the male in the picture
272, the male in the picture
273, None
274, None
275, the trees with the treehouse built on
276, the trees with the treehouse built on
277, the letters in the image
278, the letters in the image
279, the elderly person
280, the elderly person
281, the drinks on the table
282, the drinks on the table
283, the salmon
284, the salmon
285, the yellow towel
286, the yellow towel
287, the cup
288, the cup
289, the grapes
290, the grapes
291, the minion in the image smiling with its tongue out
292, the minion in the image smiling with its tongue out
293, the sports car
294, the sports car
295, None
296, None
297, the easter eggs
298, the easter eggs
299, None
300, None
